entry_time,exit_time,dir,entry,exit,reason,R,open_censored
2026-06-29 00:00:00+00:00,2026-07-01 00:16:00+00:00,1,161.794,162.69400000000002,TP,1.9377777777777905,False
2026-06-30 00:00:00+00:00,2026-07-01 03:33:00+00:00,1,161.919,162.81900000000002,TP,1.9377777777777905,False
2026-07-01 00:00:00+00:00,2026-07-02 06:34:00+00:00,1,162.633,162.18300000000002,SL,-1.062222222222197,False
2026-07-28 00:00:00+00:00,2026-07-29 04:42:00+00:00,1,163.745,163.29500000000002,SL,-1.062222222222197,False
2026-07-29 00:00:00+00:00,2026-07-29 04:36:00+00:00,1,163.866,163.41600000000003,SL,-1.062222222222197,False
